title_en,address,description,title_he,tel,email
3 gsolar,המרפא 3 הר חוצבים,"3GSOLAR הינה החברה המובילה בתחום הדפסת תאי שמש ((Dye Solar Cells – DSC.
התאים הפוטווולטאים של3GSOLAR  מספקים אנרגיה בתנאי תאורה משתנה, ואף בתאורת חדר.
כאשר התאים של 3GSOLAR משולבים ברכיבים אלקטרוניים, אין צורך להטעין או להחליף סוללות!",3 ג'י סולאר,073-7073750,tech@3gsolar.com
Avisar Insurance,המרפא 1 הר חוצבים,"סוכנות ביטוח ותיקה המתמחה בכל סוגי הביטוחים.
בדיקת צרכים פנסיוניים, ביטוחי עסקים, דירות, חיים, בריאות ורכבים.
מחירים אטרקטיביים לעובדים / חברים במנהלת בהר החוצבים.",אבישר סוכנות ביטוח,02-622-1818,Avisar@Avisar.co.il
omrix,קרית המדע 5 הר חוצבים,פיתוח ושיווק ציוד רפואי,אומריקס,077-2722888,editg@omrix.co.il
Ophir Optronics Solutions,רח' הרטום 6,,אופיר אופטרוניקס סולושנס,025484444,ophir@ophiropt.co.il
Ophir Optronics Solutions,הרטום 10 הר חוצבים,מכשירים אלקטרוניים ואופטיים,אופיר אופטרוניקס סלושנס,02-548-4444,ophir@ophiropt.co.il
OPHIR KATZ,הרטום 19 הר חוצבים,משרד עורכי דין,"אופיר כץ ושות', עורכי דין",02-652-0052,mail@ophirkatz.co.il
OpenApp,הרטום 19 הר חוצבים,פיתוח והטעמת מערכת למידה אירגונית - moodle,אופנאפ,02-6310246,sales@openapp.co.il
AVX,המרפא 3 הר חוצבים,חלקיקי  אלקטרוניקה,אי. וי. אקס,02-572-0111,gib@avxcorp.com
IDT,הלוי שלמה 5 הר חוצבים,פתרונות מיקור חוץ של שירות לקוחות,אי.די.טי גנרל דבלופמנט,02-5412908,egerberg@genie.com
Izun Pharma,קרית המדע 5 הר חוצבים,פיתוח וייצור תרופות,"איזון פארמה בע""מ",02-586-0780,info@izunpharma.com
ifn-solutions,הרטום 10 הר חוצבים,בנייה אחסון ועיצוב אתרים שרות כתיבה טכנית,איי אף אן פתרונות,02-5328580,jobs@ifn-solutions.com
intel,המרפא 9 הר חוצבים,N/A,אינטל,02-589-7111,N/A
intel,המרפא 6 הר חוצבים,N/A,אינטל,02-589-7111,N/A
intel,קרית המדע 3 הר חוצבים,N/A,אינטל,02-589-7111,N/A
innersense,הרטום 19 הר חוצבים,מייצרת ומשווקת פתרונות אבחון עבור מוליכים למחצה.,אינרסנס,02-5619631,sales@innersense-senni.com
FXCM,קרית המדע 5 הר חוצבים,מובילה בתחום המסחר בשוק ההון.,אפ.אקס.סי.אם,02-5879499,hr-israel@fxcm.com
Efi computrized solutions,הרטום 8 הר חוצבים,ספק פתרונות מיחשוב,אפי פתרונות מיחשוב,02-532-5750,eliezer@efi-com.co.il
AFEK OIL & GAS LTD ,שלמה הלוי 5 הר חוצבים,"חיפושי נפט בע""מ","אפק נפט וגז בע""מ",02-5412908,egerberg@genie.com
accubeat,המרפא 5 הר חוצבים,פיתוח ויצור שעונים אטומיים,"אקיוביט בע""מ",02-586-8330,marketing@accubeat.com
Israel State Archives,הרטום 14 הר חוצבים,ארכיון המדינה הינו הארכיון הממלכתי של מדינת ישראל.,ארכיון המדינה,02-5680680,isarc@archives.gov.il
Bank Of Israel,קרית המדע 3 הר חוצבים,"בנק ישראל הוא הבנק המרכזי של מדינת ישראל. הבנק נוסד בדצמבר 1954, ומקום מושבו בירושלים - בקריית בן גוריון, בקרבת משכן הכנסת, בית המשפט העליון ומשרדי הממשלה.",בנק ישראל,02-6552211​,audit@boi.org.il
Bank leumi,קרית המדע 3 הר חוצבים,N/A,בנק לאומי,0768696899,N/A
Beck Tech Jerusalem Ltd.,הרטום 8 הר חוצבים,הנהלת בניין בק למדע חברת בק טק אחראית,"בק טק ירושלים בע""מ הנהלת הבניין",02-548-9000,beckteck-r@bezeqint.net
Barzily &Co,הרטום 19 הר חוצבים,משרד רואי חשבון.,ברזלי ושו'ת רו'ח,073-2366200,barzily@barzily.co.il
BrightSource Energy,קרית המדע 11 הר חוצבים,N/A,ברייטסורס,077-2025000,N/A
JMB Davis Ben-David,הרטום 8 הר חוצבים,"פטנטים, מדגמים וסימני מסחר.",ג'יי אם בי דייויס בן-דוד,02-571-4777,info@jmbdavis.com
Jerusalem Global Ventures,הרטום 8 הר חוצבים,קרן הון סיכון,ג'רוסלם גלובל ונטרס,02-5828888,info@jgv.com
D.L.A  BEAUTY  L.T.D,הרטום 7 הר חוצבים,"אקדמיה לספרות ועיצוב שיער וסלון פאות.
שעות פתיחה של סלון הפאות מ-א' עד ה' מהשעה 9:00-עד 16:00.",די.אל.אי. ביוטי,02-5865665,dlahairacademy@gmail.com
Har Hotzvim Mall,,N/A,הנהלת קניון הר-חוצבים,052-2226181,N/A
Binational Science Foundation - BSF,הרטום 19 הר חוצבים,קרן לתמיכה בשיתוף פעולה מדעי בין שתי המדינות,"הקרן הדו-לאומית למדע ארה""ב-ישראל",02-582-8239,eti@bsf.org.il
verisense,הרטום 8 הר חוצבים,,ווריסנס,02-5475500,nir@verisense.com
vidacpharma,הרטום 10 הר חוצבים,הינה חברת תרופות חדשנית המסייעת  במתן עזרה לאנשים הסובלים ממגוון מצבים רפואיים אונקולוגים ודרמטולוגיים.,וידאק פארמה,02-595-2090,info@vidacpharma.com
WXG,הרטום 12 הר חוצבים,"חברה להנדסה בע""מ.",וקסמן גוברין גבע,03-5419800,info@wxg.co.il
Teva Pharmaceutical Industries,קרית המדע 24 הר חוצבים,N/A,טבע תעשיות פרמצבטיות – טבליות,02-941-1411,N/A
Teva Pharmaceutical Industries,המרפא 2 הר חוצבים,N/A,טבע תעשיות פרמצבטיות – רב תחומי,02-589-2811,N/A
Catch Media,הרטום 8 הר חוצבים,פיתוח ושיווק תוכן לסלולארים וטלויזיה,"טק מערכות פתוחות בע""מ",02-582-7575,info@cathmedia.com
Yedidut Toronto,הרטום 7 הר חוצבים,"ארגון פילנתרופי התומך בייזום, פיתוח וקידום תהליכים חברתיים בקרב הפריפריה החברתית בישראל.",ידידות טורונטו,077-801-3000,info@ff-yt.org
,הרטום 10 הר חוצבים,"קבוצת יעל הינה קבוצת IT מהמובילות בישראל.
המעניקה פתרונות עסקיים מבוססי טכנולוגיה ללקוחותיה.","יעל תוכנה ומערכות בע""מ",09-7639333,Info.services.yael@yaelsoft.com
Leuko Dx,המרפא 3 הר חוצבים,"המשימה של LeukoDx היא להיות הראשונה בתעשייה במתן רופאים עם מידע אבחון מהיר ושימושי בנקודת הטיפול. המוצרים שלנו נועדו להגביר את איכות הטיפול תוך חיסכון זמן, כסף, חיים.","לאוקו די אקס בע""מ",02-6744422,office@leukodx.com
Orlitzky & Co. - CPA,הרטום 7 הר חוצבים,ראיית חשבון,"ליאון, אורליצקי ושות' רואי חשבון",02-6400600,pery@LOCPA.CO.IL
Law Office,קרית המדע 11 הר חוצבים,משרד עורכי דין,"לפידות, מלכיאור, אברמוביץ ושות, משרד עורכי דין",02-563-8070,office@lma-law.com
sigma-alrich is now merck,קריית המדע 13 הר חוצבים,פיתוח וייצור כימיקלים עדינים,מארק – סיגמה אולדריץ,02-589-3666,isrcustserv@sial.com
MEDTRONIC ,המרפא 7 הר חוצבים,מוניטורים רפואיים,מדטרוניק,02-589-9111,oridion.frontdesk@covidien.com
Mobileye  vision technologies Ltd,הרטום 13 הר חוצבים,פיתוח למניעת מערכת תאונות רכב,"מובילאיי טכנולוגיות ראיה בע""מ",02-541-7333,israel-office@mobileye.com
mytigo,הרטום 12 הר חוצבים,Ticket2Final is an international company that provides a unique service designed especially for sports fans worldwide. On Ticket2Final website you can reserve your seat to the most exciting tournaments and guarantee your ticket's official price.,מיטיגו,02-5654478,service@mytigo.com
The Standars Istitution of Israel,קרית המדע 5 הר חוצבים,"מחלקת אגף בניין, בדיקות קרקע, בניין, מעבדה לזהב ולכימיה.",מכון התקנים הישראלי,073-2510900/3,training2@sii.org.il
RAFA Labs,רח' זאב לב 3 הר חוצבים,N/A,מעבדות רפא,02-589-3939,N/A
,הרטום 19 הר חוצבים,N/A,ניסן תקשורת,N/A,N/A
SAS Technologies,המרפא 3 הר חוצבים,"החברה מתמחה בהרכבת מעגלים מודפסים , תכנון מעגלים ופתרונות בדיקה למעגלי פיתוח.","סאס טכנולוגיות מתקדמות בע""מ",02-5337899,info@sas-tech.com
CDX Diagnostics,קרית המדע 6 הר חוצבים.,דיאגנוזטיקה של סרטן הפה,סי די אקס,02-5872580,RAARON@CDXLABS.COM
SIVAN INNOVATION ,הרטום 19 הר חוצבים,N/A,סיוון אינוביישן,N/A,N/A
Tmura,קרית המדע 5 הר חוצבים,"סמינר תמורה שלוחה של עזריאלי
סמינר ללמודי תאר בהנדסת תוכנה",סמינר תמורה,02-5638776,tmuraoffice@gmail.com
SerVision,הרטום 11 הר חוצבים,ייצור ופיתוח של מערכות ניטור ווידאו מתקדמות בעזרת תקשורת אלחוטית,"סרוויז'ן בע""מ",02-535-0000,info@servision.net
Service King International,המרפא 3 הר חוצבים,מוקד טלפוני הנותן שירות לחברות אמריקאיות.,סרוויס קינג אינטרנשנאל,02-5695226,nrubner@servicekingintl.com
Atid EDI,קרית המדע 5 הר חוצבים,ייעוץ עסקי ושרותי ייצוג לאנשי עסקים וארגונים ישראליים וזרים,עתיד אי.די.איי,02-571-0199,info@atid-edi.com
,הרטום 13 הר חוצבים,יזמי ובעלי בניין אבנר לוי.,"עתירי ידע בע""מ",03-5177707,dorit@israel-levy.co.il
Facegift,קרית המדע 5  הר חוצבים,"Facegift הנה החברה המתקדמת ביותר להדפסות של אלבומי תמונות, לוחות שנה, פאזלים וקאנבסים. עם מיטב המוחות והמפתחים, יצרנו עבורכם את המערכת המתקדמת ביותר, ללא צורך בהתקנת תוכנה ועם מגוון אפשרויות אינסופי.",פייס גיפט,072-2211120,info@facegift.co.il
Finn Partners,הרטום 8 הר חוצבים,מובילים בשירות מלא אסטרטגית שיווק יחסי ציבור של ייעוץ הסוכנות בישראל היום.,פין פרטנרס,02-589-2000/0,penina.wolff@finnpartners.com
ProFile,"הרטום 12, הר חוצבים","פרופייל הנה מהמקצועיות והמנוסות בישראל בתחומי אפיון ועיצוב ממשקי משתמש ופיתוח אתרי אינטרנט, ובעלת ניסיון מוכח ורב שנים בביצוע פרויקטים עבור מגוון לקוחות רחב בישראל ובחו""ל.",פרופייל,1-599-55-9999,info@profilesoft.com
Camera,קרית המדע 6 ב' הר חוצבים,שיווק מצלמות,קאמרה,02-5880662,camera@hotzvim.co.il
hadar center of insurance,הרטום 12 הר חוצבים,סוכנות ביטוח,קבוצת הדר,02-5872030,info@a-hadar.co.il
Correlor,הרטום 16 הר חוצבים,"Correlor מספק סוג חדש של מודיעין עסקי על לקוחות והבעה של האינטרנט על-ידי החלת ביואינפורמטיקה, מכונת למידה חברתית נתונים המבוססים על הצרכן אישיות.","קורלאור טכנולוגיות בע""מ",077-806637,info@correlor.com
qeezz,המרפא 3 הר חוצבים,"בניית אפליקציות סמארטפונים ,מחשבים.","קיז בע""מ",02-5630627,contact@qeezz.com
"Kimhi ,Peled, Posner, Shilo&Co",הרטום 8 הר חוצבים,משרד לעורכי דין,"קמחי, פלד, פוזנר, שילה ושות – עורכי דין",02-621-5555,kpps@kppslaw.co.il
Kesselman &Kesselman,הרטום 19 הר חוצבים,שירותי ייעוץ עיסקי לחברות,קסלמן וקסלמן,02-541-8200,jennifer.yitzhak@il.pwc.com
Regina tours,קרית המדע 11 הר חוצבים,N/A,רג'ינה טורס,02-5869677,N/A
cpa,הרטום 7 הר חוצבים,ראיית חשבון,"רו""ח רוחמה סלמן",02-571-5405,ros@ros-cpa.co.il
ROADMETRIC,הרטום 9 הר חוצבים,"RoadMetric מציגה טכנולוגיה חדשנית
פתרונות עבור אכיפה אפקטיבית.",רודמטריק,02-6272313,m.rosenblum@roadmetric.com
Regus,קרית המדע 3 הר חוצבים,N/A,ריג'ס ירושלים,8836*,N/A
Hadar Group,הרטום 12 הר חוצבים,N/A,רמפא נכסים-קבוצת הדר,02-532-8088,N/A
Shanti ap ltd,הרטום 19 הר חוצבים,בניית אפליקציות עבור מוביל.,שנטי אפ בע״מ,02-9669920,info@mmcubit.com
Stem Cell Medicine Ltd,קרית המדע 5 הר חוצבים,,"תרופות תאי גזע בע""מ",02-5673292,info@stemcell-medicine.com
